"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","Subscribed","Age_Group","dur_group","Quarter"
41,"management","married","tertiary","no",832,"yes","yes","cellular",21,"nov",164,1,176,1,"failure","no","0","31-45","<200","Q4"
42,"blue-collar","married","secondary","no",352,"yes","no","cellular",11,"may",79,3,-1,0,"unknown","no","0","31-45","<200","Q2"
33,"admin.","married","secondary","no",353,"yes","no","cellular",19,"nov",107,2,-1,0,"unknown","no","0","31-45","<200","Q4"
37,"blue-collar","single","primary","no",851,"yes","no","cellular",15,"may",151,1,352,1,"failure","no","0","31-45","<200","Q2"
59,"management","divorced","tertiary","no",7813,"yes","no","cellular",21,"nov",75,1,-1,0,"unknown","no","0","46-64","<200","Q4"
42,"management","single","tertiary","no",100,"no","no","cellular",7,"aug",64,2,-1,0,"unknown","no","0","31-45","<200","Q3"
39,"entrepreneur","married","tertiary","no",83,"yes","no","cellular",11,"jul",193,2,-1,0,"unknown","no","0","31-45","<200","Q3"
27,"management","single","tertiary","no",390,"no","no","cellular",28,"oct",190,1,82,1,"success","no","0","20-30","<200","Q4"
39,"management","married","tertiary","no",894,"yes","no","cellular",20,"apr",491,1,326,1,"other","no","0","31-45","401-600","Q2"
46,"management","married","tertiary","no",523,"yes","no","cellular",6,"may",105,4,366,2,"failure","no","0","46-64","<200","Q2"
32,"technician","single","tertiary","no",360,"no","no","cellular",19,"nov",164,2,-1,0,"unknown","no","0","31-45","<200","Q4"
39,"services","married","primary","no",1601,"yes","no","unknown",23,"may",201,2,-1,0,"unknown","no","0","31-45","201-400","Q2"
36,"blue-collar","married","unknown","no",6,"no","no","unknown",20,"jun",41,7,-1,0,"unknown","no","0","31-45","<200","Q3"
33,"management","single","tertiary","no",99,"no","no","cellular",8,"jul",159,1,-1,0,"unknown","no","0","31-45","<200","Q3"
37,"technician","married","tertiary","no",6968,"no","no","cellular",1,"jun",175,1,-1,0,"unknown","no","0","31-45","<200","Q3"
40,"self-employed","married","tertiary","no",642,"no","no","cellular",18,"nov",147,3,-1,0,"unknown","no","0","31-45","<200","Q4"
32,"management","single","tertiary","no",8436,"yes","no","cellular",17,"apr",245,1,149,2,"failure","no","0","31-45","201-400","Q2"
36,"admin.","married","secondary","no",998,"yes","no","unknown",14,"may",1044,2,-1,0,"unknown","no","0","31-45",">1000","Q2"
47,"management","single","tertiary","no",0,"no","no","unknown",11,"jun",58,3,-1,0,"unknown","no","0","46-64","<200","Q3"
44,"technician","married","tertiary","no",1707,"no","no","cellular",8,"aug",406,3,-1,0,"unknown","no","0","31-45","401-600","Q3"
43,"admin.","married","secondary","no",-465,"yes","yes","cellular",23,"jul",166,1,-1,0,"unknown","no","0","31-45","<200","Q3"
34,"management","married","tertiary","no",0,"no","no","cellular",20,"aug",263,2,-1,0,"unknown","no","0","31-45","201-400","Q3"
32,"services","married","secondary","yes",-220,"yes","yes","cellular",25,"jul",123,2,-1,0,"unknown","no","0","31-45","<200","Q3"
55,"blue-collar","single","primary","no",1187,"yes","no","unknown",2,"jun",193,2,-1,0,"unknown","no","0","46-64","<200","Q3"
58,"technician","single","secondary","no",409,"no","yes","cellular",14,"jul",643,2,-1,0,"unknown","no","0","46-64","601-800","Q3"
36,"technician","divorced","tertiary","no",119,"no","no","cellular",23,"jul",127,8,-1,0,"unknown","no","0","31-45","<200","Q3"
36,"blue-collar","divorced","secondary","no",-140,"yes","no","unknown",26,"may",222,2,-1,0,"unknown","no","0","31-45","201-400","Q2"
48,"technician","married","secondary","no",1526,"no","no","cellular",6,"aug",273,2,-1,0,"unknown","no","0","46-64","201-400","Q3"
33,"blue-collar","married","secondary","no",625,"yes","no","unknown",28,"may",410,1,-1,0,"unknown","no","0","31-45","401-600","Q2"
33,"blue-collar","married","secondary","no",26,"yes","no","cellular",17,"apr",342,3,332,1,"other","no","0","31-45","201-400","Q2"
59,"admin.","married","secondary","no",2381,"no","no","cellular",30,"apr",173,2,-1,0,"unknown","no","0","46-64","<200","Q2"
52,"management","married","secondary","no",-588,"yes","no","cellular",22,"jul",81,4,-1,0,"unknown","no","0","46-64","<200","Q3"
56,"management","married","primary","no",772,"yes","no","telephone",20,"nov",291,1,-1,0,"unknown","no","0","46-64","201-400","Q4"
47,"blue-collar","married","secondary","no",3285,"no","no","cellular",31,"jul",248,5,-1,0,"unknown","no","0","46-64","201-400","Q3"
34,"blue-collar","married","secondary","no",360,"yes","no","telephone",19,"nov",46,1,182,2,"failure","no","0","31-45","<200","Q4"
27,"technician","married","secondary","no",7,"yes","no","unknown",15,"may",98,2,-1,0,"unknown","no","0","20-30","<200","Q2"
36,"housemaid","married","secondary","no",419,"yes","no","unknown",30,"may",251,1,-1,0,"unknown","no","0","31-45","201-400","Q2"
39,"admin.","married","secondary","no",260,"yes","no","cellular",17,"apr",146,1,281,1,"failure","no","0","31-45","<200","Q2"
27,"student","single","tertiary","no",118,"no","no","cellular",25,"may",112,1,-1,0,"unknown","no","0","20-30","<200","Q2"
40,"services","married","secondary","no",1325,"no","no","unknown",11,"jun",150,2,-1,0,"unknown","no","0","31-45","<200","Q3"
56,"admin.","divorced","secondary","yes",-435,"yes","yes","unknown",9,"may",185,2,-1,0,"unknown","no","0","46-64","<200","Q2"
43,"management","married","tertiary","no",489,"yes","no","cellular",8,"may",130,1,172,2,"other","no","0","31-45","<200","Q2"
49,"technician","married","secondary","no",1091,"no","no","telephone",30,"jul",47,2,-1,0,"unknown","no","0","46-64","<200","Q3"
33,"technician","single","secondary","no",5235,"no","no","cellular",7,"aug",67,3,-1,0,"unknown","no","0","31-45","<200","Q3"
31,"technician","single","tertiary","no",438,"yes","no","cellular",12,"aug",130,2,-1,0,"unknown","no","0","31-45","<200","Q3"
48,"technician","married","secondary","no",1152,"yes","no","cellular",21,"jul",168,5,-1,0,"unknown","no","0","46-64","<200","Q3"
37,"technician","divorced","secondary","no",79,"no","no","cellular",21,"jul",191,1,-1,0,"unknown","no","0","31-45","<200","Q3"
42,"technician","married","secondary","no",473,"yes","no","cellular",7,"jul",216,5,-1,0,"unknown","no","0","31-45","201-400","Q3"
40,"management","married","secondary","no",643,"yes","no","cellular",17,"apr",74,2,256,1,"failure","no","0","31-45","<200","Q2"
47,"housemaid","single","tertiary","no",3727,"no","no","unknown",12,"jun",993,6,-1,0,"unknown","yes","1","46-64","801-1000","Q3"
35,"blue-collar","divorced","primary","no",-587,"yes","no","unknown",26,"may",111,1,-1,0,"unknown","no","0","31-45","<200","Q2"
40,"management","married","unknown","no",419,"yes","no","cellular",10,"jul",347,1,-1,0,"unknown","no","0","31-45","201-400","Q3"
40,"management","married","tertiary","no",8969,"yes","no","cellular",17,"nov",153,1,-1,0,"unknown","no","0","31-45","<200","Q4"
33,"technician","married","tertiary","no",8023,"no","no","cellular",25,"feb",196,1,87,4,"failure","no","0","31-45","<200","Q1"
42,"entrepreneur","married","primary","no",149,"no","no","cellular",20,"aug",94,2,-1,0,"unknown","no","0","31-45","<200","Q3"
27,"student","single","secondary","no",213,"no","no","cellular",27,"mar",378,1,-1,0,"unknown","yes","1","20-30","201-400","Q2"
51,"technician","married","primary","no",260,"no","no","cellular",19,"aug",137,2,-1,0,"unknown","no","0","46-64","<200","Q3"
37,"admin.","married","secondary","no",749,"no","no","cellular",21,"apr",219,1,-1,0,"unknown","no","0","31-45","201-400","Q2"
51,"admin.","married","secondary","no",423,"yes","yes","cellular",16,"oct",95,1,-1,0,"unknown","no","0","46-64","<200","Q4"
37,"services","single","secondary","no",1175,"yes","no","cellular",15,"may",102,1,333,2,"failure","no","0","31-45","<200","Q2"
21,"student","single","secondary","no",2488,"no","no","cellular",30,"jun",258,6,169,3,"success","yes","1","20-30","201-400","Q3"
39,"blue-collar","married","secondary","no",293,"yes","no","unknown",23,"may",160,3,-1,0,"unknown","no","0","31-45","<200","Q2"
35,"blue-collar","married","secondary","no",1287,"yes","no","cellular",14,"jul",330,2,-1,0,"unknown","no","0","31-45","201-400","Q3"
30,"admin.","married","tertiary","no",400,"yes","no","cellular",7,"may",223,1,-1,0,"unknown","no","0","20-30","201-400","Q2"
38,"technician","married","secondary","no",4030,"yes","no","cellular",19,"nov",75,2,177,5,"failure","no","0","31-45","<200","Q4"
27,"admin.","married","secondary","no",132,"no","no","cellular",13,"oct",123,2,-1,0,"unknown","no","0","20-30","<200","Q4"
31,"admin.","married","secondary","no",3,"yes","no","cellular",28,"jul",37,12,-1,0,"unknown","no","0","31-45","<200","Q3"
26,"admin.","single","secondary","no",802,"no","no","cellular",30,"jan",77,1,2,2,"other","no","0","20-30","<200","Q1"
48,"blue-collar","single","tertiary","no",2330,"yes","no","unknown",4,"jun",15,1,-1,0,"unknown","no","0","46-64","<200","Q3"
60,"retired","married","primary","no",0,"no","no","telephone",30,"jul",130,3,-1,0,"unknown","no","0","46-64","<200","Q3"
32,"student","single","tertiary","no",0,"no","no","cellular",6,"aug",101,5,3,6,"other","no","0","31-45","<200","Q3"
30,"services","divorced","secondary","no",0,"yes","no","cellular",13,"may",172,1,-1,0,"unknown","no","0","20-30","<200","Q2"
41,"admin.","married","secondary","no",21515,"yes","no","unknown",5,"jun",87,1,-1,0,"unknown","no","0","31-45","<200","Q3"
38,"admin.","married","tertiary","no",1980,"no","no","cellular",5,"aug",176,2,-1,0,"unknown","no","0","31-45","<200","Q3"
38,"entrepreneur","married","secondary","no",868,"no","no","cellular",20,"nov",452,2,-1,0,"unknown","no","0","31-45","401-600","Q4"
33,"technician","single","secondary","no",291,"no","no","cellular",25,"aug",72,6,-1,0,"unknown","no","0","31-45","<200","Q3"
53,"services","divorced","unknown","no",1012,"yes","no","cellular",28,"jul",332,2,-1,0,"unknown","no","0","46-64","201-400","Q3"
45,"blue-collar","single","primary","yes",-183,"no","yes","cellular",15,"jul",395,4,-1,0,"unknown","no","0","31-45","201-400","Q3"
50,"self-employed","married","tertiary","no",4012,"no","no","cellular",19,"nov",690,3,-1,0,"unknown","no","0","46-64","601-800","Q4"
35,"technician","single","secondary","no",-51,"no","no","unknown",2,"jul",134,2,-1,0,"unknown","no","0","31-45","<200","Q3"
61,"management","married","tertiary","no",6016,"no","no","cellular",2,"feb",670,3,-1,0,"unknown","yes","1","46-64","601-800","Q1"
33,"technician","married","secondary","no",575,"no","yes","cellular",4,"feb",254,2,-1,0,"unknown","no","0","31-45","201-400","Q1"
52,"blue-collar","divorced","primary","no",1758,"yes","no","unknown",15,"may",41,1,-1,0,"unknown","no","0","46-64","<200","Q2"
47,"blue-collar","married","primary","no",2642,"no","no","cellular",13,"aug",310,2,-1,0,"unknown","no","0","46-64","201-400","Q3"
59,"self-employed","married","tertiary","no",185,"no","no","cellular",22,"jun",177,5,138,1,"failure","no","0","46-64","<200","Q3"
45,"admin.","divorced","unknown","no",998,"yes","no","telephone",30,"jul",38,2,-1,0,"unknown","no","0","31-45","<200","Q3"
52,"blue-collar","married","secondary","no",2087,"yes","no","cellular",31,"aug",267,1,474,1,"failure","yes","1","46-64","201-400","Q3"
28,"blue-collar","single","secondary","no",43,"no","no","unknown",19,"may",190,1,-1,0,"unknown","no","0","20-30","<200","Q2"
40,"services","married","secondary","no",0,"yes","no","cellular",2,"jun",297,1,28,3,"failure","no","0","31-45","201-400","Q3"
55,"blue-collar","married","primary","no",1649,"yes","no","cellular",12,"may",52,3,-1,0,"unknown","no","0","46-64","<200","Q2"
34,"student","single","unknown","no",1281,"no","no","cellular",25,"aug",279,1,117,1,"failure","no","0","31-45","201-400","Q3"
59,"blue-collar","married","unknown","no",139,"no","no","unknown",5,"jun",153,1,-1,0,"unknown","no","0","46-64","<200","Q3"
42,"services","married","secondary","no",-246,"yes","no","unknown",7,"may",149,1,-1,0,"unknown","no","0","31-45","<200","Q2"
34,"management","married","tertiary","no",2594,"yes","no","cellular",21,"nov",161,3,-1,0,"unknown","no","0","31-45","<200","Q4"
49,"management","married","tertiary","no",87,"no","no","cellular",29,"jan",165,1,-1,0,"unknown","no","0","46-64","<200","Q1"
52,"self-employed","single","primary","no",217,"no","yes","cellular",15,"jul",193,6,-1,0,"unknown","no","0","46-64","<200","Q3"
37,"management","divorced","tertiary","no",0,"yes","no","cellular",11,"may",217,6,-1,0,"unknown","no","0","31-45","201-400","Q2"
32,"blue-collar","married","secondary","no",950,"yes","yes","cellular",20,"apr",219,4,-1,0,"unknown","no","0","31-45","201-400","Q2"
55,"services","married","secondary","no",-31,"no","yes","cellular",13,"aug",81,2,-1,0,"unknown","no","0","46-64","<200","Q3"
38,"blue-collar","married","primary","no",2240,"yes","no","cellular",19,"nov",551,1,183,1,"failure","no","0","31-45","401-600","Q4"
44,"services","single","secondary","no",106,"no","no","unknown",12,"jun",109,2,-1,0,"unknown","no","0","31-45","<200","Q3"
32,"blue-collar","married","secondary","no",1787,"yes","no","cellular",12,"may",87,4,357,4,"failure","no","0","31-45","<200","Q2"
49,"blue-collar","married","primary","no",371,"yes","no","cellular",31,"jul",18,44,-1,0,"unknown","no","0","46-64","<200","Q3"
47,"self-employed","married","tertiary","no",2303,"yes","no","cellular",6,"may",323,2,364,1,"failure","no","0","46-64","201-400","Q2"
48,"management","divorced","tertiary","no",108,"yes","no","unknown",27,"may",89,2,-1,0,"unknown","no","0","46-64","<200","Q2"
47,"entrepreneur","married","primary","no",668,"no","no","cellular",12,"may",908,1,-1,0,"unknown","no","0","46-64","801-1000","Q2"
31,"management","married","tertiary","no",623,"yes","no","cellular",13,"may",96,2,349,5,"failure","no","0","31-45","<200","Q2"
32,"admin.","married","secondary","no",76,"yes","no","unknown",21,"may",189,2,-1,0,"unknown","no","0","31-45","<200","Q2"
41,"blue-collar","married","primary","no",2067,"yes","no","cellular",15,"may",493,7,-1,0,"unknown","no","0","31-45","401-600","Q2"
33,"technician","married","secondary","no",1844,"yes","no","unknown",29,"may",241,3,-1,0,"unknown","no","0","31-45","201-400","Q2"
40,"technician","divorced","secondary","no",-375,"yes","no","cellular",13,"may",60,5,-1,0,"unknown","no","0","31-45","<200","Q2"
41,"entrepreneur","married","tertiary","no",221,"yes","no","unknown",14,"may",57,2,-1,0,"unknown","no","0","31-45","<200","Q2"
41,"technician","married","secondary","no",64,"yes","yes","unknown",8,"may",210,2,-1,0,"unknown","no","0","31-45","201-400","Q2"
35,"blue-collar","married","secondary","no",444,"yes","no","cellular",15,"apr",244,3,-1,0,"unknown","no","0","31-45","201-400","Q2"
34,"services","married","secondary","no",1076,"no","no","cellular",12,"may",152,1,182,6,"success","yes","1","31-45","<200","Q2"
53,"technician","married","tertiary","no",3177,"no","no","cellular",8,"aug",92,2,-1,0,"unknown","no","0","46-64","<200","Q3"
38,"blue-collar","married","secondary","no",2008,"yes","no","cellular",18,"nov",354,1,-1,0,"unknown","no","0","31-45","201-400","Q4"
52,"management","married","tertiary","no",-11,"yes","no","cellular",11,"may",94,4,-1,0,"unknown","no","0","46-64","<200","Q2"
56,"admin.","divorced","unknown","no",789,"yes","no","cellular",8,"may",1022,1,360,2,"failure","no","0","46-64",">1000","Q2"
28,"services","single","secondary","no",229,"yes","no","unknown",9,"may",322,1,-1,0,"unknown","no","0","20-30","201-400","Q2"
41,"blue-collar","married","secondary","no",641,"yes","no","unknown",13,"may",161,1,-1,0,"unknown","no","0","31-45","<200","Q2"
26,"services","single","secondary","no",256,"yes","no","cellular",4,"may",101,2,-1,0,"unknown","no","0","20-30","<200","Q2"
33,"blue-collar","married","secondary","no",43,"yes","no","cellular",14,"may",332,2,358,2,"failure","no","0","31-45","201-400","Q2"
54,"services","married","unknown","no",386,"no","yes","cellular",19,"nov",74,1,152,1,"success","no","0","46-64","<200","Q4"
53,"blue-collar","single","secondary","no",5715,"no","no","cellular",28,"jan",287,2,-1,0,"unknown","no","0","46-64","201-400","Q1"
34,"blue-collar","married","secondary","no",3990,"yes","no","cellular",24,"jul",633,7,-1,0,"unknown","no","0","31-45","601-800","Q3"
58,"technician","divorced","secondary","no",-123,"no","no","cellular",5,"aug",131,2,-1,0,"unknown","no","0","46-64","<200","Q3"
32,"technician","divorced","secondary","no",1097,"yes","no","unknown",12,"may",298,2,-1,0,"unknown","no","0","31-45","201-400","Q2"
46,"management","single","secondary","no",295,"yes","no","unknown",23,"may",141,6,-1,0,"unknown","no","0","46-64","<200","Q2"
33,"technician","married","secondary","no",3470,"no","no","cellular",11,"aug",285,2,-1,0,"unknown","no","0","31-45","201-400","Q3"
31,"unemployed","single","secondary","no",-186,"yes","no","unknown",26,"may",172,3,-1,0,"unknown","no","0","31-45","<200","Q2"
33,"technician","married","secondary","no",181,"yes","yes","telephone",28,"jul",265,2,-1,0,"unknown","no","0","31-45","201-400","Q3"
34,"services","married","secondary","no",-315,"yes","no","unknown",8,"may",56,2,-1,0,"unknown","no","0","31-45","<200","Q2"
43,"services","married","primary","no",-88,"yes","yes","cellular",17,"apr",313,1,147,2,"failure","no","0","31-45","201-400","Q2"
33,"entrepreneur","married","tertiary","no",595,"no","no","cellular",7,"aug",22,2,-1,0,"unknown","no","0","31-45","<200","Q3"
58,"blue-collar","divorced","secondary","no",314,"no","no","unknown",25,"jun",67,2,-1,0,"unknown","no","0","46-64","<200","Q3"
40,"management","married","tertiary","no",1041,"yes","no","unknown",12,"jun",73,1,-1,0,"unknown","no","0","31-45","<200","Q3"
29,"admin.","single","secondary","no",1117,"yes","no","unknown",8,"may",77,2,-1,0,"unknown","no","0","20-30","<200","Q2"
47,"management","married","tertiary","no",6637,"yes","no","cellular",17,"apr",174,2,-1,0,"unknown","no","0","46-64","<200","Q2"
47,"technician","married","primary","no",145,"yes","no","unknown",7,"may",157,6,-1,0,"unknown","no","0","46-64","<200","Q2"
30,"services","married","secondary","no",0,"yes","no","unknown",9,"may",20,1,-1,0,"unknown","no","0","20-30","<200","Q2"
35,"blue-collar","married","secondary","no",280,"yes","yes","cellular",31,"jul",65,50,-1,0,"unknown","no","0","31-45","<200","Q3"
36,"technician","divorced","secondary","no",5957,"yes","no","cellular",18,"nov",138,2,-1,0,"unknown","no","0","31-45","<200","Q4"
31,"blue-collar","married","primary","no",620,"no","no","cellular",30,"mar",95,1,-1,0,"unknown","no","0","31-45","<200","Q2"
41,"entrepreneur","married","primary","no",39,"yes","no","cellular",21,"nov",549,2,-1,0,"unknown","yes","1","31-45","401-600","Q4"
26,"blue-collar","married","secondary","no",484,"yes","no","unknown",19,"may",48,2,-1,0,"unknown","no","0","20-30","<200","Q2"
43,"management","married","tertiary","no",1429,"yes","no","cellular",19,"nov",1015,1,198,2,"other","yes","1","31-45",">1000","Q4"
55,"admin.","married","secondary","no",865,"yes","no","cellular",27,"oct",96,1,111,3,"failure","no","0","46-64","<200","Q4"
46,"technician","married","tertiary","no",342,"yes","yes","cellular",5,"may",84,1,-1,0,"unknown","no","0","46-64","<200","Q2"
46,"admin.","single","secondary","no",1693,"yes","no","cellular",25,"jan",137,1,97,1,"success","no","0","46-64","<200","Q1"
49,"blue-collar","married","secondary","no",1568,"no","no","unknown",21,"may",206,6,-1,0,"unknown","no","0","46-64","201-400","Q2"
43,"entrepreneur","married","tertiary","no",13342,"yes","no","cellular",18,"nov",465,1,-1,0,"unknown","no","0","31-45","401-600","Q4"
39,"blue-collar","married","primary","no",694,"yes","no","cellular",21,"nov",44,1,-1,0,"unknown","no","0","31-45","<200","Q4"
24,"blue-collar","single","primary","no",111,"yes","yes","unknown",27,"may",42,4,-1,0,"unknown","no","0","20-30","<200","Q2"
36,"admin.","single","secondary","no",0,"no","no","cellular",20,"apr",637,1,-1,0,"unknown","no","0","31-45","601-800","Q2"
42,"blue-collar","married","primary","no",-119,"yes","no","cellular",22,"jul",167,3,-1,0,"unknown","no","0","31-45","<200","Q3"
42,"unemployed","divorced","secondary","no",759,"no","no","cellular",28,"jan",97,1,169,3,"failure","no","0","31-45","<200","Q1"
32,"technician","single","tertiary","no",0,"no","no","cellular",7,"aug",268,2,-1,0,"unknown","no","0","31-45","201-400","Q3"
27,"admin.","single","tertiary","no",73,"no","no","cellular",29,"jan",242,1,-1,0,"unknown","no","0","20-30","201-400","Q1"
53,"entrepreneur","married","primary","no",27,"yes","no","telephone",10,"sep",230,3,-1,0,"unknown","yes","1","46-64","201-400","Q4"
38,"blue-collar","married","secondary","no",213,"yes","no","unknown",16,"jun",270,15,-1,0,"unknown","no","0","31-45","201-400","Q3"
53,"technician","divorced","unknown","no",629,"yes","no","cellular",8,"may",298,1,-1,0,"unknown","no","0","46-64","201-400","Q2"
59,"retired","married","secondary","no",9976,"yes","no","unknown",29,"may",57,2,-1,0,"unknown","no","0","46-64","<200","Q2"
55,"self-employed","married","secondary","no",-196,"yes","no","unknown",20,"may",210,2,-1,0,"unknown","no","0","46-64","201-400","Q2"
32,"management","married","tertiary","no",-55,"yes","no","cellular",26,"aug",107,4,-1,0,"unknown","no","0","31-45","<200","Q3"
34,"technician","single","secondary","no",105,"yes","no","cellular",7,"may",146,2,171,3,"failure","no","0","31-45","<200","Q2"
56,"technician","married","secondary","no",4073,"no","no","cellular",27,"aug",239,5,-1,0,"unknown","no","0","46-64","201-400","Q3"
46,"admin.","married","secondary","no",0,"yes","yes","cellular",20,"apr",239,2,259,2,"failure","no","0","46-64","201-400","Q2"
39,"management","single","secondary","no",835,"yes","no","unknown",29,"may",587,4,-1,0,"unknown","no","0","31-45","401-600","Q2"
35,"blue-collar","married","secondary","no",603,"yes","no","cellular",17,"apr",474,2,-1,0,"unknown","no","0","31-45","401-600","Q2"
26,"technician","married","tertiary","no",3825,"yes","no","unknown",13,"may",107,1,-1,0,"unknown","no","0","20-30","<200","Q2"
51,"services","married","secondary","no",867,"yes","no","cellular",3,"feb",177,2,211,3,"failure","no","0","46-64","<200","Q1"
37,"management","married","tertiary","no",0,"no","no","cellular",16,"jul",268,2,182,3,"success","yes","1","31-45","201-400","Q3"
54,"management","married","tertiary","no",55,"yes","no","cellular",2,"jun",112,2,-1,0,"unknown","no","0","46-64","<200","Q3"
36,"management","married","tertiary","no",222,"yes","no","cellular",6,"may",317,1,169,2,"failure","no","0","31-45","201-400","Q2"
42,"management","married","tertiary","no",484,"yes","no","cellular",11,"jul",144,2,-1,0,"unknown","no","0","31-45","<200","Q3"
42,"blue-collar","single","primary","no",1322,"yes","yes","cellular",8,"jul",178,1,-1,0,"unknown","no","0","31-45","<200","Q3"
50,"blue-collar","married","primary","no",12519,"yes","no","cellular",17,"apr",146,2,147,4,"success","no","0","46-64","<200","Q2"
44,"technician","single","secondary","no",1679,"no","no","telephone",20,"oct",718,1,-1,0,"unknown","yes","1","31-45","601-800","Q4"
35,"technician","single","secondary","no",175,"yes","no","cellular",29,"jan",219,1,246,1,"failure","no","0","31-45","201-400","Q1"
33,"blue-collar","married","secondary","no",0,"yes","yes","cellular",28,"jul",83,12,-1,0,"unknown","no","0","31-45","<200","Q3"
39,"self-employed","single","tertiary","no",426,"no","no","unknown",18,"jun",1029,1,-1,0,"unknown","yes","1","31-45",">1000","Q3"
44,"blue-collar","married","primary","no",-14,"yes","yes","unknown",19,"may",179,4,-1,0,"unknown","no","0","31-45","<200","Q2"
42,"blue-collar","married","secondary","no",179,"yes","no","cellular",17,"nov",96,1,-1,0,"unknown","no","0","31-45","<200","Q4"
55,"housemaid","married","primary","no",136,"yes","no","unknown",19,"jun",15,10,-1,0,"unknown","no","0","46-64","<200","Q3"
56,"admin.","married","secondary","no",1270,"yes","no","cellular",17,"nov",80,2,165,2,"other","no","0","46-64","<200","Q4"
47,"management","married","tertiary","no",109,"yes","no","cellular",22,"jul",268,1,-1,0,"unknown","no","0","46-64","201-400","Q3"
23,"technician","single","secondary","no",598,"no","no","cellular",30,"apr",166,1,-1,0,"unknown","no","0","20-30","<200","Q2"
53,"admin.","married","secondary","no",459,"no","no","cellular",5,"apr",558,1,-1,0,"unknown","yes","1","46-64","401-600","Q2"
59,"retired","married","unknown","no",0,"no","no","unknown",8,"may",425,6,-1,0,"unknown","no","0","46-64","401-600","Q2"
51,"technician","married","secondary","no",500,"yes","no","cellular",20,"nov",26,6,-1,0,"unknown","no","0","46-64","<200","Q4"
30,"student","single","tertiary","no",34,"yes","no","unknown",6,"may",289,1,-1,0,"unknown","no","0","20-30","201-400","Q2"
38,"technician","married","secondary","no",821,"yes","yes","cellular",17,"nov",224,2,180,1,"failure","no","0","31-45","201-400","Q4"
28,"admin.","single","secondary","no",1323,"yes","no","unknown",3,"jun",361,1,-1,0,"unknown","no","0","20-30","201-400","Q3"
30,"blue-collar","single","secondary","no",180,"no","no","cellular",14,"jul",203,1,183,2,"failure","no","0","20-30","201-400","Q3"
35,"technician","divorced","tertiary","no",4515,"yes","no","cellular",19,"nov",98,2,-1,0,"unknown","no","0","31-45","<200","Q4"
48,"blue-collar","single","secondary","no",312,"yes","yes","cellular",3,"feb",369,2,-1,0,"unknown","no","0","46-64","201-400","Q1"
